Date,Time,O3,CO,C6H6,SO2,NO2,NOx(GT),Pb,PM(2.5),PM(10),RH,AH,T
21/04/2007,11:00:00,1187,-200,11.0,849,-200,-200,-200,1642,1016,30.9,0.9340,24.4
21/04/2007,12:00:00,900,-200,10.6,900,-200,-200,-200,1561,1000,26.7,0.8771,25.9
21/04/2007,13:00:00,800,-200,10.5,914,-200,-200,-200,1574,998,26.1,0.8540,25.8
21/04/2007,14:00:00,770,-200,9.6,953,-200,-200,-200,1513,964,24.8,0.8393,26.3
21/04/2007,15:00:00,758,-200,9.3,988,-200,-200,-200,1483,953,22.2,0.7805,27.0
21/04/2007,16:00:00,886,-200,12.7,944,-200,-200,-200,1558,1075,20.5,0.7308,27.3
21/04/2007,17:00:00,1219,-200,19.8,765,-200,-200,-200,1838,1291,24.1,0.7912,25.8
21/04/2007,18:00:00,1725,-200,32.5,601,-200,-200,-200,2271,1608,28.9,0.9151,25.3
21/04/2007,19:00:00,1745,-200,33.6,584,-200,-200,-200,2328,1633,33.7,0.9786,23.8
21/04/2007,20:00:00,1600,-200,26.0,635,-200,-200,-200,2073,1455,36.0,0.9059,21.4
21/04/2007,21:00:00,1310,-200,16.4,753,-200,-200,-200,1737,1193,39.5,0.9016,19.8
21/04/2007,22:00:00,1208,-200,10.6,847,-200,-200,-200,1573,1000,42.1,0.9273,19.2
21/04/2007,23:00:00,1074,-200,7.1,933,-200,-200,-200,1492,863,45.8,0.9855,18.8
22/04/2007,00:00:00,993,-200,6.4,973,-200,-200,-200,1469,828,50.8,0.9828,17.1
22/04/2007,01:00:00,923,-200,4.6,1058,-200,-200,-200,1420,741,53.4,0.9775,16.2
22/04/2007,02:00:00,819,-200,3.0,1141,-200,-200,-200,1377,654,53.5,0.9691,16.0
22/04/2007,03:00:00,727,-200,2.2,1242,-200,-200,-200,1341,597,59.2,0.9601,14.3
22/04/2007,04:00:00,694,-200,1.7,1295,-200,-200,-200,1316,565,62.6,0.9498,13.3
22/04/2007,05:00:00,727,-200,2.2,1276,-200,-200,-200,1335,596,59.5,0.9097,13.4
22/04/2007,06:00:00,926,-200,5.7,990,-200,-200,-200,1474,800,64.1,0.9062,12.2
22/04/2007,07:00:00,1194,-200,13.8,767,-200,-200,-200,1729,1109,57.2,0.9029,13.9
22/04/2007,08:00:00,1502,-200,21.6,623,-200,-200,-200,2003,1340,53.2,0.9107,15.2
22/04/2007,09:00:00,1743,-200,26.1,593,-200,-200,-200,2186,1458,41.6,0.9154,19.2
22/04/2007,10:00:00,1542,-200,20.1,694,-200,-200,-200,1945,1299,30.6,0.8854,23.7
22/04/2007,11:00:00,1354,-200,15.4,766,-200,-200,-200,1731,1162,26.8,0.8921,26.1
22/04/2007,12:00:00,1175,-200,13.6,814,-200,-200,-200,1682,1102,24.4,0.9138,28.1
22/04/2007,13:00:00,916,-200,11.1,893,-200,-200,-200,1585,1020,23.9,0.9060,28.3
22/04/2007,14:00:00,818,-200,12.2,908,-200,-200,-200,1562,1055,21.0,0.7814,28.0
22/04/2007,15:00:00,1028,-200,17.5,824,-200,-200,-200,1676,1225,16.4,0.7167,30.8
22/04/2007,16:00:00,1113,-200,19.1,806,-200,-200,-200,1739,1270,16.2,0.7262,31.3
22/04/2007,17:00:00,1431,-200,27.1,679,-200,-200,-200,2025,1482,20.5,0.8262,29.4
22/04/2007,18:00:00,1503,-200,28.3,661,-200,-200,-200,2038,1510,24.3,0.7940,25.8
22/04/2007,19:00:00,1775,-200,35.0,587,-200,-200,-200,2238,1664,29.5,0.8559,23.8
22/04/2007,20:00:00,1505,-200,22.4,701,-200,-200,-200,1932,1361,34.8,0.9080,22.0
22/04/2007,21:00:00,1211,-200,13.5,835,-200,-200,-200,1659,1100,37.4,0.8748,20.2
22/04/2007,22:00:00,872,-200,8.2,982,-200,-200,-200,1466,907,38.8,0.8559,19.3
22/04/2007,23:00:00,855,-200,7.8,976,-200,-200,-200,1467,890,43.7,0.8856,17.9
23/04/2007,00:00:00,1170,-200,10.0,873,-200,-200,-200,1593,979,47.9,0.9334,17.2
23/04/2007,01:00:00,1024,-200,6.6,958,-200,-200,-200,1467,839,49.7,0.9160,16.3
23/04/2007,02:00:00,841,-200,3.4,1155,-200,-200,-200,1337,675,46.5,0.8755,16.7
23/04/2007,03:00:00,760,-200,2.8,1202,-200,-200,-200,1325,642,53.0,0.8775,14.6
23/04/2007,04:00:00,803,-200,2.3,1213,-200,-200,-200,1314,608,53.9,0.8633,14.1
23/04/2007,05:00:00,793,46,2.9,1186,59,59,0.6,1321,646,52.2,0.8413,14.2
23/04/2007,06:00:00,906,56,4.9,1041,67,72,0.8,1418,757,55.4,0.9003,14.3
23/04/2007,07:00:00,1541,452,22.6,627,95,244,4,2119,1368,58.0,0.9202,14.0
23/04/2007,08:00:00,1861,880,31.1,523,123,351,5.6,2417,1576,53.3,0.9289,15.4
23/04/2007,09:00:00,1895,759,22.1,621,142,358,5,2030,1354,42.1,0.9233,19.1
23/04/2007,10:00:00,1684,394,18.3,706,142,245,3.2,1887,1247,31.0,0.8968,23.7
23/04/2007,11:00:00,1731,639,22.0,677,169,240,3.8,1947,1350,25.7,0.8942,26.9
23/04/2007,12:00:00,1402,541,20.1,728,142,179,3.3,1838,1299,20.6,0.8478,29.7
23/04/2007,13:00:00,1246,468,18.9,757,136,160,3,1835,1265,21.5,0.8573,29.2
23/04/2007,14:00:00,1342,483,20.6,729,147,174,3.2,1865,1312,20.1,0.8181,29.6
23/04/2007,15:00:00,1489,682,25.3,680,196,260,4.4,1953,1438,19.4,0.8100,30.0
23/04/2007,16:00:00,1532,698,25.8,679,186,281,4.6,1985,1449,20.1,0.8136,29.5
23/04/2007,17:00:00,1909,832,30.6,599,177,284,5.2,2228,1566,26.8,0.9403,27.0
23/04/2007,18:00:00,1757,872,27.1,615,164,250,4.8,2087,1483,30.8,0.9540,24.9
23/04/2007,19:00:00,1983,899,32.5,557,161,281,5.6,2335,1608,36.7,1.0244,23.1
23/04/2007,20:00:00,1703,692,20.8,660,146,230,4.6,1975,1319,40.8,1.0333,21.5
23/04/2007,21:00:00,1246,145,10.9,816,98,98,1.8,1619,1010,41.5,0.9864,20.5
23/04/2007,22:00:00,1321,208,13.0,770,108,121,2.2,1687,1083,44.9,0.9875,19.2
23/04/2007,23:00:00,1375,204,11.8,777,107,110,2,1659,1043,47.7,1.0221,18.8
24/04/2007,00:00:00,1456,240,13.4,736,113,161,2.8,1729,1098,49.7,1.0284,18.2
24/04/2007,01:00:00,1442,251,13.4,707,100,148,2.6,1763,1097,57.4,1.0451,16.1
24/04/2007,02:00:00,1243,173,9.0,827,87,109,1.8,1597,938,55.3,1.0178,16.3
24/04/2007,03:00:00,1078,113,5.8,916,-200,-200,1.1,1481,802,53.6,0.9483,15.7
24/04/2007,04:00:00,939,55,3.8,1045,60,45,-200,1430,700,49.8,0.9514,16.9
24/04/2007,05:00:00,937,65,3.7,1045,65,71,0.7,1403,697,57.7,0.9644,14.8
24/04/2007,06:00:00,1019,119,5.7,931,64,75,0.9,1483,800,59.7,0.9499,14.0
24/04/2007,07:00:00,1140,151,10.0,794,73,106,1.5,1639,979,56.8,0.9385,14.6
24/04/2007,08:00:00,1351,305,15.0,681,86,166,2.5,1838,1147,51.9,0.9788,16.7
24/04/2007,09:00:00,1459,415,15.6,685,105,188,3,1874,1169,45.0,1.0390,20.0
24/04/2007,10:00:00,1297,321,12.3,787,107,161,2.6,1727,1059,33.7,0.9837,23.9
24/04/2007,11:00:00,1291,358,14.4,765,114,139,2.6,1808,1130,29.5,1.0209,26.8
24/04/2007,12:00:00,1296,350,14.6,738,105,134,2.6,1840,1136,32.4,1.1493,27.2
24/04/2007,13:00:00,972,238,8.7,879,74,84,1.9,1623,929,32.1,1.1217,26.9
24/04/2007,14:00:00,1194,215,11.0,798,95,98,2,1766,1016,41.8,1.2561,24.3
24/04/2007,15:00:00,880,192,9.0,884,89,91,1.7,1610,938,36.0,1.1629,25.6
24/04/2007,16:00:00,909,205,10.7,845,95,99,1.9,1691,1003,31.8,1.1176,27.0
24/04/2007,17:00:00,839,165,9.9,860,93,90,1.8,1634,973,31.6,1.1417,27.5
24/04/2007,18:00:00,1248,283,15.7,725,123,147,2.8,1899,1171,38.1,1.1838,24.9
24/04/2007,19:00:00,1476,467,19.4,661,134,177,3.5,1970,1280,39.7,1.1276,23.4
24/04/2007,20:00:00,1502,485,16.8,651,126,162,3.4,1863,1203,50.8,1.2631,21.2
24/04/2007,21:00:00,873,202,6.8,906,79,88,2,1584,850,73.5,1.2953,15.6
24/04/2007,22:00:00,528,64,3.0,1157,54,53,1.1,1404,650,79.7,1.1774,12.9
24/04/2007,23:00:00,492,71,3.2,1157,69,68,1.3,1365,667,76.9,1.0436,11.5
25/04/2007,00:00:00,463,84,3.1,1181,67,61,1.2,1321,661,66.8,0.9455,12.2
25/04/2007,01:00:00,494,70,3.9,1131,73,71,1.3,1359,707,64.1,0.9209,12.4
25/04/2007,02:00:00,503,61,3.6,1161,73,63,1,1317,689,58.7,0.8605,12.7
25/04/2007,03:00:00,581,92,4.5,1083,-200,-200,1.3,1363,737,58.6,0.8529,12.6
25/04/2007,04:00:00,350,40,1.2,1535,33,23,-200,1121,521,51.2,0.7374,12.5
25/04/2007,05:00:00,305,20,0.7,1783,20,14,0.3,1098,471,50.9,0.7346,12.5
25/04/2007,06:00:00,329,31,1.1,1718,37,34,0.5,1148,505,49.3,0.7285,12.8
25/04/2007,07:00:00,375,41,1.4,1496,50,42,0.6,1184,535,48.6,0.7487,13.5
25/04/2007,08:00:00,373,40,1.6,1476,45,40,0.6,1180,553,45.9,0.7476,14.4
25/04/2007,09:00:00,385,35,2.3,1370,48,48,0.8,1206,603,43.9,0.7487,15.1
25/04/2007,10:00:00,403,44,2.5,1346,56,61,1,1216,621,38.6,0.7236,16.6
25/04/2007,11:00:00,393,71,2.7,1320,58,58,0.9,1193,635,35.0,0.6789,17.2
25/04/2007,12:00:00,388,66,2.7,1290,52,57,1,1185,636,33.9,0.6683,17.4
25/04/2007,13:00:00,371,46,2.2,1389,52,54,0.8,1145,596,30.7,0.6234,17.9
25/04/2007,14:00:00,347,50,2.0,1488,44,41,0.7,1104,584,27.2,0.5675,18.3
25/04/2007,15:00:00,396,51,3.4,1343,59,57,0.9,1181,675,25.7,0.5738,19.4
25/04/2007,16:00:00,474,64,4.5,1274,74,83,1.3,1219,739,24.1,0.5630,20.2
25/04/2007,17:00:00,505,138,4.7,1228,76,81,1.4,1219,748,24.9,0.5625,19.6
25/04/2007,18:00:00,625,137,6.0,1122,83,98,1.5,1344,811,27.8,0.5843,18.5
25/04/2007,19:00:00,941,303,11.7,883,100,124,2.7,1550,1039,30.3,0.6129,17.8
25/04/2007,20:00:00,893,204,8.2,976,101,133,2.5,1419,907,34.0,0.6353,16.6
25/04/2007,21:00:00,731,95,5.1,1103,90,100,1.4,1310,769,37.0,0.6447,15.5
25/04/2007,22:00:00,955,347,13.0,875,93,116,2.8,1654,1083,39.5,0.6595,14.8
25/04/2007,23:00:00,761,252,7.0,1013,79,102,2.1,1379,858,42.0,0.6896,14.5
26/04/2007,00:00:00,515,66,3.9,1192,57,55,1.1,1283,703,44.9,0.7206,14.1
26/04/2007,01:00:00,434,45,2.2,1361,43,33,0.7,1220,601,45.5,0.7333,14.2
26/04/2007,02:00:00,369,36,1.3,1513,25,17,0.4,1152,527,45.3,0.7247,14.1
26/04/2007,03:00:00,335,26,0.8,1722,-200,-200,0.3,1115,477,44.3,0.7038,14.0
26/04/2007,04:00:00,319,17,0.6,1826,17,10,-200,1091,454,43.0,0.6890,14.1
26/04/2007,05:00:00,378,21,1.2,1575,44,35,0.4,1158,521,43.9,0.6923,13.9
26/04/2007,06:00:00,517,60,3.4,1271,72,70,0.8,1307,676,43.8,0.6959,14.0
26/04/2007,07:00:00,786,155,7.5,982,91,116,1.9,1464,880,43.6,0.7113,14.4
26/04/2007,08:00:00,844,235,8.9,917,89,134,2.1,1490,934,41.7,0.7093,15.0
26/04/2007,09:00:00,720,89,5.3,1080,84,113,1.4,1343,780,38.4,0.7052,16.3
26/04/2007,10:00:00,668,76,5.4,1102,83,110,1.4,1328,782,32.3,0.6760,18.3
26/04/2007,11:00:00,605,101,5.2,1098,78,98,1.3,1311,772,31.7,0.6821,18.8
26/04/2007,12:00:00,646,109,6.6,1038,80,96,1.5,1413,837,30.9,0.6968,19.6
26/04/2007,13:00:00,640,143,6.9,1018,75,95,1.6,1436,851,30.7,0.7176,20.2
26/04/2007,14:00:00,571,104,5.4,1065,77,86,1.3,1365,785,32.5,0.7396,19.7
26/04/2007,15:00:00,605,107,6.0,1060,77,86,1.4,1395,810,31.6,0.7602,20.7
26/04/2007,16:00:00,636,133,6.4,1034,81,91,1.5,1410,832,32.7,0.7545,20.0
26/04/2007,17:00:00,886,171,10.7,864,101,119,2.2,1625,1003,35.4,0.7535,18.6
26/04/2007,18:00:00,1032,405,13.9,787,119,147,3.2,1685,1114,35.9,0.7501,18.3
26/04/2007,19:00:00,977,334,12.5,811,111,135,3,1616,1068,37.5,0.7568,17.8
26/04/2007,20:00:00,924,236,9.3,907,109,124,2.6,1496,950,38.8,0.7584,17.3
26/04/2007,21:00:00,846,99,6.7,1000,101,89,1.6,1441,842,38.8,0.7596,17.3
26/04/2007,22:00:00,755,93,5.3,1057,89,79,1.5,1359,778,40.8,0.7542,16.4
26/04/2007,23:00:00,610,82,4.0,1158,75,63,1.2,1318,709,41.4,0.7487,16.0
27/04/2007,00:00:00,439,51,2.2,1351,51,39,0.8,1225,601,43.0,0.7482,15.4
27/04/2007,01:00:00,402,41,1.7,1424,39,25,0.7,1197,560,42.5,0.7539,15.7
27/04/2007,02:00:00,406,31,1.6,1385,32,19,0.5,1212,557,43.4,0.7651,15.6
27/04/2007,03:00:00,424,41,1.5,1423,-200,-200,0.5,1224,545,45.8,0.7864,15.2
27/04/2007,04:00:00,558,41,2.5,1236,49,34,-200,1302,617,49.9,0.8280,14.7
27/04/2007,05:00:00,746,38,3.3,1143,68,58,0.7,1339,670,47.3,0.8282,15.5
27/04/2007,06:00:00,1126,111,8.9,843,76,112,1.4,1593,935,53.1,0.8677,14.4
27/04/2007,07:00:00,1703,584,23.4,589,122,314,4.1,2101,1389,48.5,0.8704,15.9
27/04/2007,08:00:00,1628,633,23.8,630,129,240,4.6,2050,1398,40.3,0.8294,18.1
27/04/2007,09:00:00,936,145,7.9,938,94,128,1.9,1487,896,35.9,0.8100,19.6
27/04/2007,10:00:00,890,155,8.2,968,99,141,1.9,1455,908,29.1,0.7960,22.8
27/04/2007,11:00:00,757,128,8.8,979,81,118,1.7,1474,931,25.3,0.7793,24.8
27/04/2007,12:00:00,949,255,14.6,829,87,132,2.4,1651,1137,22.0,0.7785,27.2
27/04/2007,13:00:00,1109,411,18.0,773,107,150,3,1779,1238,20.4,0.7677,28.2
27/04/2007,14:00:00,870,173,12.0,898,95,121,2,1560,1048,24.2,0.7733,25.4
27/04/2007,15:00:00,1011,277,14.8,840,110,149,2.7,1651,1142,23.8,0.7737,25.7
27/04/2007,16:00:00,885,259,12.5,903,99,120,2.2,1592,1066,22.1,0.7811,27.2
27/04/2007,17:00:00,1015,274,15.5,817,113,155,2.9,1689,1164,22.3,0.7860,27.0
27/04/2007,18:00:00,1155,377,17.7,766,127,172,3.4,1798,1231,27.8,0.8433,24.5
27/04/2007,19:00:00,1315,457,21.6,702,131,177,3.9,1955,1341,30.2,0.8718,23.7
27/04/2007,20:00:00,1359,555,18.9,716,137,181,3.6,1849,1266,34.5,0.8746,21.5
27/04/2007,21:00:00,1194,279,12.5,811,122,135,2.5,1651,1066,37.8,0.8675,19.9
27/04/2007,22:00:00,951,137,8.8,905,100,99,1.8,1511,932,40.6,0.8771,18.9
27/04/2007,23:00:00,1054,203,10.9,806,108,111,2,1608,1012,43.5,0.8840,17.9
28/04/2007,00:00:00,980,101,8.0,880,83,72,1.3,1504,899,46.3,0.9112,17.4
28/04/2007,01:00:00,898,86,4.4,999,74,54,1,1396,735,44.7,0.9186,18.1
28/04/2007,02:00:00,803,51,2.8,1139,64,41,0.6,1359,639,50.1,0.9331,16.5
28/04/2007,03:00:00,684,47,2.7,1167,-200,-200,0.6,1347,632,56.9,0.9141,14.2
28/04/2007,04:00:00,644,35,2.2,1209,40,24,-200,1321,602,56.2,0.9341,14.7
28/04/2007,05:00:00,677,33,2.5,1191,39,29,0.5,1345,619,52.8,0.9722,16.3
28/04/2007,06:00:00,996,95,7.5,892,69,76,1.1,1539,880,60.7,0.9597,13.9
28/04/2007,07:00:00,1736,754,30.4,529,104,321,5.5,2396,1560,58.3,0.9876,15.0
28/04/2007,08:00:00,1692,588,22.0,571,100,274,4.2,2112,1351,54.8,0.9960,16.1
28/04/2007,09:00:00,2108,658,24.7,577,146,322,4.6,2155,1423,46.4,1.0248,19.3
28/04/2007,10:00:00,1807,372,18.4,692,155,255,3.4,1903,1252,33.8,1.0097,24.2
28/04/2007,11:00:00,1566,386,16.8,723,139,196,2.8,1850,1205,28.7,0.9895,26.7
28/04/2007,12:00:00,1293,333,14.2,755,121,136,2.5,1741,1123,28.2,1.0098,27.4
28/04/2007,13:00:00,1219,293,15.7,748,108,119,2.4,1787,1170,26.9,1.0094,28.1
28/04/2007,14:00:00,1330,511,21.9,684,126,169,3.2,1969,1348,26.5,0.9693,27.7
28/04/2007,15:00:00,1299,559,20.8,701,145,197,3.5,1890,1318,23.4,0.8935,28.4
28/04/2007,16:00:00,1111,375,16.2,768,121,140,2.9,1750,1185,26.0,0.9922,28.4
28/04/2007,17:00:00,1300,509,19.8,680,145,178,3.6,1878,1292,30.0,1.0752,27.3
28/04/2007,18:00:00,1653,790,28.9,567,160,223,4.8,2226,1525,37.3,1.1199,24.3
28/04/2007,19:00:00,1716,816,28.3,562,155,222,5.4,2252,1510,42.2,1.1746,23.1
28/04/2007,20:00:00,1720,804,24.9,597,162,265,5.3,2117,1426,43.6,1.1226,21.8
28/04/2007,21:00:00,1339,332,13.1,764,129,151,2.7,1740,1088,46.8,1.0702,19.8
28/04/2007,22:00:00,1166,156,8.6,845,96,79,1.4,1575,923,49.8,1.1221,19.6
28/04/2007,23:00:00,1256,143,9.5,788,92,87,1.6,1662,960,56.2,1.1420,17.9
29/04/2007,00:00:00,1125,117,7.8,838,89,88,1.5,1574,891,55.6,1.0963,17.4
29/04/2007,01:00:00,968,84,5.2,923,61,51,1,1495,772,59.5,1.1269,16.8
29/04/2007,02:00:00,814,60,2.8,1115,54,34,0.6,1409,639,60.1,1.0806,15.9
29/04/2007,03:00:00,743,76,2.3,1154,-200,-200,0.4,1386,608,61.2,1.0784,15.6
29/04/2007,04:00:00,758,40,2.5,1168,44,31,-200,1382,617,63.4,1.0446,14.6
29/04/2007,05:00:00,861,64,4.4,1038,57,76,0.8,1470,734,67.0,1.0203,13.3
29/04/2007,06:00:00,1047,148,9.4,827,68,139,1.5,1620,956,66.5,0.9846,12.9
29/04/2007,07:00:00,1665,635,29.8,539,95,293,4.9,2405,1547,61.3,1.0237,14.8
29/04/2007,08:00:00,1982,1129,36.2,461,125,368,7.2,2572,1690,56.5,1.0274,16.1
29/04/2007,09:00:00,1711,475,18.0,648,135,250,3.5,1886,1241,47.8,1.0143,18.6
29/04/2007,10:00:00,1204,220,10.9,875,118,145,2.1,1583,1009,30.2,0.8771,23.8
29/04/2007,11:00:00,871,105,9.0,971,91,110,1.5,1491,941,25.0,0.7966,25.4
29/04/2007,12:00:00,1040,190,14.4,829,89,104,2,1716,1128,25.5,0.8234,25.6
29/04/2007,13:00:00,1439,516,22.3,656,129,205,3.8,2037,1360,29.9,0.9325,24.9
29/04/2007,14:00:00,1516,346,20.9,654,122,201,3.4,2023,1321,37.9,1.0160,22.4
29/04/2007,15:00:00,1693,565,23.1,614,138,266,4.4,2151,1379,44.0,1.1242,21.7
29/04/2007,16:00:00,1635,483,21.2,615,136,246,3.9,2069,1331,44.4,1.1176,21.4
29/04/2007,17:00:00,1688,651,24.8,579,143,247,4.9,2176,1424,45.3,1.1016,20.8
29/04/2007,18:00:00,1820,657,28.6,553,145,271,5.4,2312,1519,48.6,1.1354,20.2
29/04/2007,19:00:00,2006,830,32.6,502,146,332,6.5,2488,1610,50.8,1.1924,20.2
29/04/2007,20:00:00,1740,435,19.2,608,122,245,4.3,2046,1275,57.6,1.2233,18.6
29/04/2007,21:00:00,1577,209,16.3,646,112,180,2.9,1931,1189,58.8,1.2173,18.2
29/04/2007,22:00:00,1443,202,13.7,694,102,156,2.7,1856,1106,61.0,1.2352,17.8
29/04/2007,23:00:00,1411,174,13.6,681,97,172,2.8,1876,1104,70.7,1.3554,17.0
30/04/2007,00:00:00,1217,170,11.1,733,85,137,2.3,1823,1019,76.9,1.4051,16.2
30/04/2007,01:00:00,1086,116,7.6,830,76,91,1.7,1696,884,78.6,1.3943,15.7
30/04/2007,02:00:00,1050,91,5.9,897,74,80,1.2,1628,809,78.4,1.3917,15.7
30/04/2007,03:00:00,965,71,5.0,963,-200,-200,1,1598,761,77.4,1.3683,15.7
30/04/2007,04:00:00,906,59,4.0,1009,56,46,-200,1554,711,78.5,1.3635,15.4
30/04/2007,05:00:00,917,48,4.5,1005,66,68,0.8,1563,738,74.7,1.3194,15.7
30/04/2007,06:00:00,1116,111,9.3,818,90,162,1.7,1771,949,73.1,1.3136,15.9
30/04/2007,07:00:00,1380,345,18.3,662,111,213,3,2033,1249,68.2,1.2737,16.6
30/04/2007,08:00:00,1378,332,19.9,638,103,161,3.4,2065,1295,57.6,1.2323,18.7
30/04/2007,09:00:00,1365,344,16.6,685,117,209,3.3,1970,1199,65.0,1.2945,17.6
30/04/2007,10:00:00,1273,212,12.6,736,116,191,2.7,1833,1072,73.2,1.3458,16.3
30/04/2007,11:00:00,1242,166,12.9,707,109,215,2.6,1889,1082,78.5,1.4209,16.0
30/04/2007,12:00:00,1294,214,14.9,673,116,212,3.2,1973,1145,72.4,1.4125,17.3
30/04/2007,13:00:00,1413,377,17.4,643,115,202,3.4,2061,1222,60.9,1.3545,19.4
30/04/2007,14:00:00,1224,210,15.4,695,94,153,2.6,1939,1160,50.9,1.2823,21.4
30/04/2007,15:00:00,1318,265,16.7,699,121,185,3.4,1971,1201,45.8,1.2465,22.7
30/04/2007,16:00:00,1404,365,18.0,644,114,210,4,2139,1239,60.8,1.4852,20.9
30/04/2007,17:00:00,1471,454,19.2,641,110,215,4.5,2133,1274,54.3,1.3353,21.0
30/04/2007,18:00:00,1623,460,21.0,622,122,215,4.2,2162,1324,54.4,1.3194,20.8
30/04/2007,19:00:00,1786,642,26.9,555,135,281,5.7,2356,1476,58.6,1.3392,19.8
30/04/2007,20:00:00,1569,501,19.5,625,133,254,4.4,2100,1282,61.1,1.3345,19.1
30/04/2007,21:00:00,1495,234,15.1,684,110,189,3.1,1951,1152,65.4,1.3529,18.2
30/04/2007,22:00:00,1471,212,14.6,689,102,174,3,1927,1136,66.1,1.3579,18.1
30/04/2007,23:00:00,1384,275,13.7,718,108,167,3.1,1872,1107,66.9,1.3422,17.7
01/05/2007,00:00:00,1789,275,15.2,709,110,185,3.5,1936,1155,66.8,1.3460,17.8
01/05/2007,01:00:00,1323,-200,9.3,826,84,129,2.4,1724,951,68.3,1.3346,17.3
01/05/2007,02:00:00,1081,-200,6.5,939,71,85,1.6,1647,833,70.2,1.3099,16.5
01/05/2007,03:00:00,938,-200,6.3,950,-200,-200,1.3,1629,825,73.1,1.2902,15.7
01/05/2007,04:00:00,673,-200,3.5,1134,42,35,-200,1492,685,69.9,1.2756,16.2
01/05/2007,05:00:00,543,-200,2.6,1205,32,24,0.6,1434,624,67.1,1.2619,16.7
01/05/2007,06:00:00,561,-200,3.1,1180,35,30,0.7,1452,659,66.9,1.2631,16.7
01/05/2007,07:00:00,862,-200,6.5,916,67,75,1.2,1632,833,66.5,1.2688,16.9
01/05/2007,08:00:00,901,-200,6.5,926,73,79,1.5,1615,836,62.0,1.2458,17.7
01/05/2007,09:00:00,1048,-200,8.8,854,86,104,1.8,1693,932,54.6,1.2184,19.4
01/05/2007,10:00:00,971,-200,8.8,886,89,118,2.1,1652,931,46.1,1.1725,21.6
01/05/2007,11:00:00,915,-200,9.2,909,86,105,1.9,1657,946,36.7,1.1202,24.6
01/05/2007,12:00:00,891,-200,9.2,901,86,101,2,1632,948,31.9,1.0566,26.0
01/05/2007,13:00:00,628,-200,6.1,1044,66,65,1.3,1489,816,31.5,1.0184,25.6
01/05/2007,14:00:00,556,-200,6.5,1029,68,59,1.3,1495,835,34.8,1.0716,24.8
01/05/2007,15:00:00,652,-200,9.2,928,82,80,1.8,1584,948,30.3,1.0101,26.1
01/05/2007,16:00:00,683,-200,8.3,949,91,98,2,1603,911,33.5,1.0767,25.5
01/05/2007,17:00:00,624,-200,8.3,948,95,89,1.8,1598,910,37.2,1.0746,23.7
01/05/2007,18:00:00,733,-200,11.0,849,104,114,2.4,1676,1013,38.9,1.0324,22.3
01/05/2007,19:00:00,1062,-200,14.7,759,131,195,4,1780,1140,42.8,1.0298,20.7
01/05/2007,20:00:00,988,-200,10.8,835,112,156,2.8,1674,1006,51.7,1.1222,19.0
01/05/2007,21:00:00,871,-200,9.4,866,100,109,2,1656,954,55.5,1.1174,17.8
01/05/2007,22:00:00,1243,-200,14.8,727,115,184,3.6,1851,1144,57.6,1.1342,17.4
01/05/2007,23:00:00,1175,-200,13.3,765,129,190,3.7,1769,1094,58.5,1.1645,17.6
02/05/2007,00:00:00,1126,-200,8.4,876,99,105,2.3,1599,914,59.3,1.1551,17.2
02/05/2007,01:00:00,1118,-200,7.9,893,74,76,1.8,1646,894,60.4,1.1633,17.1
02/05/2007,02:00:00,864,-200,5.5,989,55,38,0.9,1536,789,62.2,1.1507,16.4
02/05/2007,03:00:00,942,-200,6.6,910,-200,-200,1.6,1580,838,67.6,1.1352,14.8
02/05/2007,04:00:00,684,-200,3.3,1141,35,26,-200,1460,670,65.8,1.1028,14.8
02/05/2007,05:00:00,689,-200,2.6,1212,37,33,0.6,1426,628,65.2,1.0811,14.7
02/05/2007,06:00:00,767,-200,3.6,1138,45,57,0.7,1456,689,70.2,1.0554,13.1
02/05/2007,07:00:00,817,-200,4.8,1036,46,48,0.8,1518,751,66.2,1.0728,14.3
02/05/2007,08:00:00,940,-200,5.9,951,68,87,1.2,1568,806,61.6,1.1083,16.0
02/05/2007,09:00:00,908,-200,6.9,920,77,94,1.4,1595,851,56.4,1.1342,17.7
02/05/2007,10:00:00,871,-200,8.5,890,79,89,1.6,1639,918,44.7,1.1157,21.3
02/05/2007,11:00:00,689,-200,6.1,1015,72,78,1.3,1531,816,36.4,1.0431,23.6
02/05/2007,12:00:00,629,-200,6.2,1031,68,72,1.3,1510,821,34.0,1.0149,24.3
02/05/2007,13:00:00,602,-200,4.8,1086,64,64,1.1,1436,754,32.7,0.9863,24.4
02/05/2007,14:00:00,617,-200,6.8,1010,73,70,1.2,1519,847,31.7,0.9647,24.6
02/05/2007,15:00:00,677,-200,7.0,948,84,92,1.5,1538,859,34.3,1.0020,23.9
02/05/2007,16:00:00,580,-200,5.5,1047,67,69,1.1,1443,790,28.1,0.9258,25.9
02/05/2007,17:00:00,861,-200,9.5,884,106,131,1.9,1637,957,32.3,0.9815,24.5
02/05/2007,18:00:00,1080,-200,11.9,809,114,144,2.3,1721,1047,39.3,1.0600,22.6
02/05/2007,19:00:00,1288,-200,13.8,736,123,209,3.3,1853,1111,47.5,1.1828,21.2
02/05/2007,20:00:00,1163,-200,10.7,789,108,170,2.6,1753,1003,54.9,1.2632,19.9
02/05/2007,21:00:00,1043,-200,9.7,840,100,152,2.2,1691,966,52.1,1.1642,19.4
